DISTRICT,map_version,chamber,total_pop,total_vap,bvap,hvap,avap,bipoc_vap,pct_bvap,pct_hvap,pct_avap,pct_bipoc_vap,partisan_lean
1,enacted_2021,house,58530,45068,4878,7457,4236,16572,0.1082,0.1655,0.094,0.3677,0.1921
2,enacted_2021,house,53479,41178,12283,1328,937,14549,0.2983,0.0323,0.0228,0.3533,-0.2281
3,enacted_2021,house,54687,42108,20166,8393,2653,31214,0.4789,0.1993,0.063,0.7413,0.9568
4,enacted_2021,house,53576,41253,11927,5919,1387,19234,0.2891,0.1435,0.0336,0.4663,0.4472
5,enacted_2021,house,62001,47740,14683,12949,2786,30420,0.3076,0.2713,0.0584,0.6372,0.8195
6,enacted_2021,house,56811,43744,25510,9004,2234,36749,0.5832,0.2058,0.0511,0.8401,1.0
7,enacted_2021,house,54087,41646,23301,8308,3423,35033,0.5595,0.1995,0.0822,0.8412,1.0
8,enacted_2021,house,54206,41738,3745,9108,3260,16114,0.0897,0.2182,0.0781,0.3861,0.2003
9,enacted_2021,house,56575,43562,28209,977,129,29315,0.6476,0.0224,0.003,0.673,0.5248
10,enacted_2021,house,57822,44522,16792,8919,3644,29356,0.3772,0.2003,0.0819,0.6594,0.524
11,enacted_2021,house,56341,43382,14173,5193,1077,20443,0.3267,0.1197,0.0248,0.4713,-0.017
12,enacted_2021,house,55918,43056,3135,2657,1780,7572,0.0728,0.0617,0.0414,0.1759,-0.321
13,enacted_2021,house,59226,45604,14449,2979,2391,19820,0.3169,0.0653,0.0524,0.4346,-0.0447
14,enacted_2021,house,60487,46574,20819,4376,3535,28731,0.447,0.094,0.0759,0.6169,0.5891
15,enacted_2021,house,60005,46203,14388,10956,4139,29484,0.3114,0.2371,0.0896,0.6381,0.5353
16,enacted_2021,house,54456,41931,16985,10022,3158,30165,0.4051,0.239,0.0753,0.7194,0.5113
17,enacted_2021,house,54161,41703,16262,2952,8005,27219,0.39,0.0708,0.192,0.6527,0.5529
18,enacted_2021,house,57844,44539,5399,6898,829,13127,0.1212,0.1549,0.0186,0.2947,-0.1567
19,enacted_2021,house,54911,42281,16546,7874,194,24616,0.3913,0.1862,0.0046,0.5822,0.366
20,enacted_2021,house,55291,42574,7958,8086,8514,24559,0.1869,0.1899,0.2,0.5769,0.662
21,enacted_2021,house,56140,43227,16633,13189,403,30226,0.3848,0.3051,0.0093,0.6993,0.4655
22,enacted_2021,house,59117,45520,18294,14683,643,33622,0.4019,0.3226,0.0141,0.7386,0.891
23,enacted_2021,house,52832,40680,11038,12591,3572,27202,0.2714,0.3095,0.0878,0.6687,0.7417
24,enacted_2021,house,53898,41501,2869,6002,7528,16399,0.0691,0.1446,0.1814,0.3952,0.3112
25,enacted_2021,house,57850,44544,9115,3401,388,12904,0.2046,0.0764,0.0087,0.2897,-0.2849
26,enacted_2021,house,56230,43297,9352,17318,3898,30569,0.216,0.4,0.09,0.706,0.9742
27,enacted_2021,house,51725,39828,17994,2040,4358,24393,0.4518,0.0512,0.1094,0.6125,0.5155
28,enacted_2021,house,62441,48079,34533,7734,3407,45675,0.7183,0.1609,0.0709,0.95,1.0
29,enacted_2021,house,55063,42398,25632,2227,2096,29956,0.6046,0.0525,0.0494,0.7066,0.7355
30,enacted_2021,house,62379,48031,8383,9785,186,18355,0.1745,0.2037,0.0039,0.3822,0.0023
31,enacted_2021,house,52669,40555,20941,12205,1061,34208,0.5164,0.301,0.0262,0.8435,0.9092
32,enacted_2021,house,56923,43830,13385,6309,444,20139,0.3054,0.144,0.0101,0.4595,0.2864
33,enacted_2021,house,58389,44959,7185,2481,449,10116,0.1598,0.0552,0.01,0.225,-0.223
34,enacted_2021,house,60298,46429,13466,7285,1244,21995,0.29,0.1569,0.0268,0.4737,0.1299
35,enacted_2021,house,52507,40430,29580,3129,5698,38408,0.7316,0.0774,0.141,0.95,1.0
36,enacted_2021,house,56148,43233,14860,9252,3245,27358,0.3437,0.214,0.0751,0.6328,0.8383
37,enacted_2021,house,51970,40016,8340,6245,1973,16559,0.2084,0.1561,0.0493,0.4138,0.2286
38,enacted_2021,house,57209,44050,10434,16883,5604,32922,0.2369,0.3833,0.1272,0.7474,0.8818
39,enacted_2021,house,56035,43146,12085,11119,2348,25554,0.2801,0.2577,0.0544,0.5923,0.4354
40,enacted_2021,house,55935,43069,23458,2709,3607,29774,0.5447,0.0629,0.0837,0.6913,0.5908
41,enacted_2021,house,59863,46094,9224,17593,2285,29103,0.2001,0.3817,0.0496,0.6314,0.4613
42,enacted_2021,house,60449,46545,29276,622,6366,36265,0.629,0.0134,0.1368,0.7792,0.5392
43,enacted_2021,house,54791,42189,12205,2952,7910,23068,0.2893,0.07,0.1875,0.5468,0.4952
44,enacted_2021,house,54701,42119,13815,16847,6073,36736,0.328,0.4,0.1442,0.8722,1.0
45,enacted_2021,house,58738,45228,4829,9111,960,14901,0.1068,0.2015,0.0212,0.3295,-0.0879
46,enacted_2021,house,55926,43063,14574,6260,781,21616,0.3385,0.1454,0.0181,0.502,0.5035
47,enacted_2021,house,57597,44349,7567,9740,2415,19723,0.1706,0.2196,0.0545,0.4447,0.3612
48,enacted_2021,house,59569,45868,15975,11887,329,28192,0.3483,0.2592,0.0072,0.6147,0.597
49,enacted_2021,house,59023,45447,27499,14991,683,43174,0.6051,0.3299,0.015,0.95,1.0
50,enacted_2021,house,55444,42691,16693,9297,2968,28959,0.391,0.2178,0.0695,0.6783,0.9434
51,enacted_2021,house,59954,46164,6125,18003,1487,25616,0.1327,0.39,0.0322,0.5549,0.2601
52,enacted_2021,house,60455,46550,23943,9644,5,33593,0.5144,0.2072,0.0001,0.7217,0.6365
53,enacted_2021,house,57818,44519,23671,13137,5484,42293,0.5317,0.2951,0.1232,0.95,1.0
54,enacted_2021,house,57282,44107,25257,1846,6068,33172,0.5726,0.0419,0.1376,0.7521,0.8873
