DISTRICT,map_version,chamber,total_pop,total_vap,bvap,hvap,avap,bipoc_vap,pct_bvap,pct_hvap,pct_avap,pct_bipoc_vap,partisan_lean
1,enacted_2024,congress,776320,597766,112902,95252,29654,237808,0.1889,0.1593,0.0496,0.3978,0.1468
2,enacted_2024,congress,766755,590401,40501,7893,69891,118285,0.0686,0.0134,0.1184,0.2003,-0.1342
3,enacted_2024,congress,686981,528975,318275,51642,39448,409366,0.6017,0.0976,0.0746,0.7739,1.0
4,enacted_2024,congress,754758,581163,132233,147842,10581,290657,0.2275,0.2544,0.0182,0.5001,0.3945
5,enacted_2024,congress,720055,554442,118090,84862,22145,225098,0.213,0.1531,0.0399,0.406,-0.0798
6,enacted_2024,congress,718762,553446,70095,140445,105058,315599,0.1267,0.2538,0.1898,0.5702,0.4364
7,enacted_2024,congress,802598,618000,272070,116131,13619,401821,0.4402,0.1879,0.022,0.6502,0.5546
8,enacted_2024,congress,732986,564399,219533,58142,28928,306604,0.389,0.103,0.0513,0.5432,0.2244
9,enacted_2024,congress,765016,589062,248608,203867,107132,559608,0.422,0.3461,0.1819,0.95,1.0
10,enacted_2024,congress,786821,605852,258543,116225,18921,393690,0.4267,0.1918,0.0312,0.6498,0.5441
11,enacted_2024,congress,761401,586278,165661,169545,40979,376186,0.2826,0.2892,0.0699,0.6417,0.8155
12,enacted_2024,congress,814770,627372,276245,36296,30750,343293,0.4403,0.0579,0.049,0.5472,0.2395
13,enacted_2024,congress,736556,567148,363207,65104,54071,482383,0.6404,0.1148,0.0953,0.8505,0.9933
14,enacted_2024,congress,720285,554619,250886,79869,82912,413668,0.4524,0.144,0.1495,0.7459,0.8079
