DISTRICT,map_version,chamber,total_pop,total_vap,bvap,hvap,avap,bipoc_vap,pct_bvap,pct_hvap,pct_avap,pct_bipoc_vap,partisan_lean
1,enacted_2024,house,54668,42094,6120,1679,1724,9524,0.1454,0.0399,0.041,0.2263,-0.7387
2,enacted_2024,house,54479,41948,18892,10418,8389,37700,0.4504,0.2484,0.2,0.8988,1.0
3,enacted_2024,house,56265,43324,6807,346,1099,8253,0.1571,0.008,0.0254,0.1905,-0.0816
4,enacted_2024,house,54321,41827,19960,2032,4018,26010,0.4772,0.0486,0.0961,0.6219,0.5066
5,enacted_2024,house,60654,46703,21360,5396,2764,29521,0.4574,0.1156,0.0592,0.6321,0.7152
6,enacted_2024,house,56434,43454,8564,3848,843,13257,0.1971,0.0886,0.0194,0.3051,-0.1879
7,enacted_2024,house,58757,45242,17690,10333,2151,30175,0.391,0.2284,0.0476,0.667,0.6505
8,enacted_2024,house,49665,38242,6453,2335,1393,10183,0.1688,0.0611,0.0364,0.2663,-0.37
9,enacted_2024,house,52202,40195,8309,1355,439,10104,0.2067,0.0337,0.0109,0.2514,-0.0669
10,enacted_2024,house,57488,44265,10468,7439,447,18355,0.2365,0.1681,0.0101,0.4147,0.3354
11,enacted_2024,house,52191,40187,10646,4523,2207,17378,0.2649,0.1126,0.0549,0.4324,0.0129
12,enacted_2024,house,54430,41911,13788,14068,2137,29994,0.329,0.3357,0.051,0.7157,0.6754
13,enacted_2024,house,53776,41407,13585,2946,5218,21750,0.3281,0.0712,0.126,0.5253,0.2873
14,enacted_2024,house,56786,43725,23623,8309,2874,34806,0.5403,0.19,0.0657,0.796,0.8169
15,enacted_2024,house,59800,46046,4392,3391,593,8377,0.0954,0.0737,0.0129,0.1819,-0.336
16,enacted_2024,house,59763,46017,1710,9958,6671,18340,0.0372,0.2164,0.145,0.3986,0.2156
17,enacted_2024,house,55131,42450,20559,4601,7287,32448,0.4843,0.1084,0.1717,0.7644,0.77
18,enacted_2024,house,57330,44144,7040,3696,1210,11948,0.1595,0.0837,0.0274,0.2707,0.0481
19,enacted_2024,house,51016,39282,24602,6738,3152,34494,0.6263,0.1715,0.0803,0.8781,1.0
20,enacted_2024,house,55707,42894,20313,100,623,21037,0.4736,0.0023,0.0145,0.4905,0.2173
