DISTRICT,map_version,chamber,total_pop,total_vap,bvap,hvap,avap,bipoc_vap,pct_bvap,pct_hvap,pct_avap,pct_bipoc_vap,partisan_lean
1,enacted_2024,senate,212460,163594,43751,15416,7598,66766,0.2674,0.0942,0.0464,0.4081,-0.2827
2,enacted_2024,senate,212715,163790,4989,13434,545,18969,0.0305,0.082,0.0033,0.1158,-0.328
3,enacted_2024,senate,196390,151220,77773,10609,1071,89455,0.5143,0.0702,0.0071,0.5916,0.3421
4,enacted_2024,senate,185915,143154,74322,13849,11880,100052,0.5192,0.0967,0.083,0.6989,0.5922
5,enacted_2024,senate,196363,151199,8347,599,13016,21963,0.0552,0.004,0.0861,0.1453,-0.4141
6,enacted_2024,senate,190216,146466,18477,45048,225,63751,0.1262,0.3076,0.0015,0.4353,0.1999
7,enacted_2024,senate,193751,149188,121945,17329,2453,141728,0.8174,0.1162,0.0164,0.95,1.0
8,enacted_2024,senate,226323,174268,52405,43644,21240,117290,0.3007,0.2504,0.1219,0.673,0.5037
9,enacted_2024,senate,199650,153730,49175,11519,5731,66427,0.3199,0.0749,0.0373,0.4321,0.2006
10,enacted_2024,senate,206206,158778,113689,21437,4561,139689,0.716,0.135,0.0287,0.8798,1.0
11,enacted_2024,senate,204296,157307,70703,22863,6042,99609,0.4495,0.1453,0.0384,0.6332,0.5577
12,enacted_2024,senate,200297,154228,34891,19746,30845,85483,0.2262,0.128,0.2,0.5543,0.4128
13,enacted_2024,senate,214469,165141,77215,16460,6116,99792,0.4676,0.0997,0.037,0.6043,0.5288
14,enacted_2024,senate,214093,164851,85937,21849,32970,140756,0.5213,0.1325,0.2,0.8538,0.9301
15,enacted_2024,senate,189958,146267,92452,8304,3646,104404,0.6321,0.0568,0.0249,0.7138,0.6069
16,enacted_2024,senate,203824,156944,54560,6024,31388,91974,0.3476,0.0384,0.2,0.586,0.3037
17,enacted_2024,senate,214205,164937,40481,14464,21566,76512,0.2454,0.0877,0.1308,0.4639,0.2026
18,enacted_2024,senate,196122,151013,24067,7142,948,32159,0.1594,0.0473,0.0063,0.213,-0.366
19,enacted_2024,senate,194823,150013,41327,22245,18702,82275,0.2755,0.1483,0.1247,0.5485,0.3957
20,enacted_2024,senate,211087,162536,131644,5982,5924,143551,0.8099,0.0368,0.0364,0.8832,1.0
