DISTRICT,map_version,chamber,total_pop,total_vap,bvap,hvap,avap,bipoc_vap,pct_bvap,pct_hvap,pct_avap,pct_bipoc_vap,partisan_lean
1,enacted_2021,senate,202419,155862,55124,18222,13372,86720,0.3537,0.1169,0.0858,0.5564,0.334
2,enacted_2021,senate,201109,154853,4861,4436,5747,15045,0.0314,0.0287,0.0371,0.0972,-0.5873
3,enacted_2021,senate,208225,160333,15195,13451,2072,30720,0.0948,0.0839,0.0129,0.1916,-0.3176
4,enacted_2021,senate,196988,151680,5739,40204,934,46878,0.0378,0.2651,0.0062,0.3091,-0.0992
5,enacted_2021,senate,191607,147537,15825,43725,825,60375,0.1073,0.2964,0.0056,0.4092,0.2516
6,enacted_2021,senate,193548,149031,56807,29373,29453,115633,0.3812,0.1971,0.1976,0.7759,0.9061
7,enacted_2021,senate,197803,152308,75801,122,649,76572,0.4977,0.0008,0.0043,0.5028,0.4619
8,enacted_2021,senate,209686,161458,65750,30958,14837,111547,0.4072,0.1917,0.0919,0.6909,0.6963
9,enacted_2021,senate,198387,152757,28464,23333,7566,59364,0.1863,0.1527,0.0495,0.3886,0.0339
10,enacted_2021,senate,224632,172966,75297,53766,8089,137152,0.4353,0.3109,0.0468,0.7929,0.8949
11,enacted_2021,senate,190094,146372,30884,32942,3810,67637,0.211,0.2251,0.026,0.4621,0.433
12,enacted_2021,senate,196779,151519,15044,30157,19460,64661,0.0993,0.199,0.1284,0.4268,0.036
13,enacted_2021,senate,205219,158018,85875,2829,31603,120308,0.5435,0.0179,0.2,0.7614,1.0
14,enacted_2021,senate,204738,157648,87227,42190,1131,130549,0.5533,0.2676,0.0072,0.8281,1.0
15,enacted_2021,senate,191104,147150,11995,50351,15742,78089,0.0815,0.3422,0.107,0.5307,0.3832
16,enacted_2021,senate,204824,157714,16891,7719,2806,27417,0.1071,0.0489,0.0178,0.1738,-0.5129
17,enacted_2021,senate,202140,155647,27899,29636,3400,60936,0.1792,0.1904,0.0218,0.3915,0.0317
18,enacted_2021,senate,190621,146778,11423,41260,13443,66127,0.0778,0.2811,0.0916,0.4505,-0.0056
19,enacted_2021,senate,192271,148048,43283,10395,13092,66771,0.2924,0.0702,0.0884,0.451,0.2285
20,enacted_2021,senate,189222,145700,33712,13641,18429,65783,0.2314,0.0936,0.1265,0.4515,0.2126
21,enacted_2021,senate,193382,148904,63358,25101,14817,103277,0.4255,0.1686,0.0995,0.6936,0.7535
22,enacted_2021,senate,210324,161949,78852,51826,21687,152367,0.4869,0.32,0.1339,0.9408,1.0
23,enacted_2021,senate,216324,166569,15304,24344,13327,52975,0.0919,0.1462,0.08,0.318,-0.0797
24,enacted_2021,senate,196146,151032,13123,11553,730,25407,0.0869,0.0765,0.0048,0.1682,-0.3531
